Ford,Ranger,2018,FRC18
Ford,Ranger,2019,FRC19
Ford,Ranger,2020,FRC20
Ford,Ranger,2021,DRF21
Ford,Ranger,2022,DRF22
Ford,Ranger,2023,DRF23
Ford,Taurus,2017,TAJJ7
Ford,Taurus,2018,TAJJ8
Ford,Taurus,2019,FTU19
Ford,Taurus,2020,FTU20
Ford,Escort,2015,EFFJ5
Ford,Escort,2016,EFFJ6
Ford,Escort,2017,EFFJ7
Chevrolet,Impala,2018,FRR18
Chevrolet,Impala,2019,FRR19
Chevrolet,Impala,2020,FRJJ0
Chevrolet,Impala,2021,FRJJ1
Chevrolet,Impala,2022,FRJJ2
Chevrolet,Suburban,2021,SCH21
Chevrolet,Suburban,2022,SCH22
Chevrolet,Suburban,2023,SCH23
